uuid,owner_uuid,schedule_type,day_of_week,start_time,end_time,space_uuid
68424dd4-b1db-4799-9235-40ec6067d2e3,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,08:00,08:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
230e311c-f05e-4a66-898b-0439f0e74b49,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,08:30,09:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
257499cd-6a61-485c-bfb2-78c2c6bcf7aa,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,09:00,09:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
e4ce9a7f-94bb-4c39-ac4e-87b68f2aca76,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,09:30,10:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
07ec4c77-d67d-4d8c-b254-b7dd2092cfba,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,10:00,10:30,042fe007-c088-4f72-9960-cc05e7cd69ed
f01a1e8a-2f14-4a24-af30-af57b61dcf57,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,10:30,11:00,042fe007-c088-4f72-9960-cc05e7cd69ed
b585f303-9b71-4551-89cd-51e9c7825ec2,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,11:00,11:30,042fe007-c088-4f72-9960-cc05e7cd69ed
7826bf10-16ad-4cd3-859c-6daf1cf0cbbf,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,monday,11:30,12:00,042fe007-c088-4f72-9960-cc05e7cd69ed
39478ca0-85c7-4711-bfcd-44adc1728945,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,tuesday,08:00,08:30,f052d030-208c-4e49-b314-a97ea08cdbc5
18e5f550-9593-4836-8fa9-886300790468,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,tuesday,08:30,09:00,f052d030-208c-4e49-b314-a97ea08cdbc5
a73ab377-83bf-4351-ac00-8283c347b04d,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,tuesday,09:00,09:30,f052d030-208c-4e49-b314-a97ea08cdbc5
54a45f2c-d05d-45df-85e6-757a05ad860a,26cc0afb-4844-420c-9d6b-3f6da48d1d5e,course_base,tuesday,09:30,10:00,f052d030-208c-4e49-b314-a97ea08cdbc5
2b34a9d0-dc2b-4269-9cc8-55b0f33a8964,e2d1b40d-70cd-43a3-9467-b1a99b1f5351,coursegroup_override,tuesday,08:00,08:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
9c17b2f8-ecc8-4b61-968d-b764b196d824,e2d1b40d-70cd-43a3-9467-b1a99b1f5351,coursegroup_override,tuesday,08:30,09:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
a55b17ea-09c8-4638-bdeb-dd87bd0942f1,e2d1b40d-70cd-43a3-9467-b1a99b1f5351,coursegroup_override,tuesday,09:00,09:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
ba2c2ddb-56e1-44bf-9469-b9b530450c1c,e2d1b40d-70cd-43a3-9467-b1a99b1f5351,coursegroup_override,tuesday,09:30,10:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
8188d2ee-b6d4-46bc-a3f6-d9b0655bc6f3,d03ae345-8cee-415a-b2d0-f25db6ccd299,coursegroup_override,tuesday,08:00,08:30,042fe007-c088-4f72-9960-cc05e7cd69ed
cb84cec4-0470-41c9-bb9d-f2b3b70dea87,d03ae345-8cee-415a-b2d0-f25db6ccd299,coursegroup_override,tuesday,08:30,09:00,042fe007-c088-4f72-9960-cc05e7cd69ed
823bcef4-27f2-401c-9791-46ef3dee2271,d03ae345-8cee-415a-b2d0-f25db6ccd299,coursegroup_override,tuesday,09:00,09:30,042fe007-c088-4f72-9960-cc05e7cd69ed
38f384fc-74ac-44a8-bc4b-e27620d0393f,d03ae345-8cee-415a-b2d0-f25db6ccd299,coursegroup_override,tuesday,09:30,10:00,042fe007-c088-4f72-9960-cc05e7cd69ed
fccf03c3-b999-436e-b798-0ae237ccbd6b,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,13:30,14:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
ccdff784-76e0-42ce-8581-7e914a9f7fa8,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,14:00,14:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
8e9a6315-3233-4545-abc9-0f4ace0f1899,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,14:30,15:00,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
e3e176cd-b079-414c-9989-2f4b44011341,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,15:00,15:30,5cb6433c-05a5-4955-a8e6-bf9b2962b4df
6edb56a7-6465-476f-b812-eac32e0d2c95,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,15:30,16:00,f052d030-208c-4e49-b314-a97ea08cdbc5
04caa95b-b4b8-4666-9adf-52a62bef6bdd,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,16:00,16:30,f052d030-208c-4e49-b314-a97ea08cdbc5
496ad235-0dd5-4447-b25a-73b3a220940a,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,16:30,17:00,f052d030-208c-4e49-b314-a97ea08cdbc5
f9f78387-837e-41a8-ae21-d260ba86b45a,7155bae9-53b5-4460-9d82-573e24d271ea,course_base,monday,17:00,17:30,f052d030-208c-4e49-b314-a97ea08cdbc5
